Participant.ID,PRE.POST,Trial_type,LR_oldmodel,Invtemp_oldmodel,OutSens_recipmodel,Invtemp_recipmodel,LR_recipmodel,LR_inv_recipmodel,nll_1_new_rewsens,nll_2_new_pess
P030,POST,Reward,-3.739762646,3.787561096,4.382286249,4.382286249,-3.739762646,-3.739762646,392.7507747,400.4080672
P031,POST,Reward,-1.68789907,0.837815849,0.016660235,0.016660235,-1.68789907,-1.68789907,389.1305921,389.867352
P032,POST,Reward,-3.926799988,3.633479826,3.807930325,3.807930325,-3.926799988,-3.926799988,397.3831633,408.2390921
P033,POST,Reward,-3.774979308,3.521264639,3.817397784,3.817397784,-3.774979308,-3.774979308,398.1577803,408.5265397
P034,POST,Reward,-2.616347358,3.942293252,4.625422876,4.625422876,-2.616347358,-2.616347358,388.6897534,388.9009577
P035,POST,Reward,-3.752884731,3.64958896,4.113229135,4.113229135,-3.752884731,-3.752884731,394.2047192,402.8485098
P036,POST,Reward,-3.156694763,3.479769061,4.133085871,4.133085871,-3.156694763,-3.156694763,392.3852977,400.3853543
P037,POST,Reward,-1.771535924,1.513026724,2.198781329,2.198781329,-1.771535924,-1.771535924,396.9047491,411.8084824
P038,POST,Reward,-3.608732532,3.937350553,4.611045361,4.611045361,-3.608732532,-3.608732532,392.3575191,397.3072294
P039,POST,Reward,-1.712717834,1.860389995,2.544935097,2.544935097,-1.712717834,-1.712717834,397.4202664,411.0132013
P040,POST,Reward,-2.553636528,1.95001469,1.60617031,1.60617031,-2.553636528,-2.553636528,389.8562093,392.518676
P041,POST,Reward,-2.815639869,2.678689675,3.197915273,3.197915273,-2.815639869,-2.815639869,394.9380672,410.6990708
P042,POST,Reward,-1.758990149,1.608958195,2.291408736,2.291408736,-1.758990149,-1.758990149,397.3953204,413.086541
P043,POST,Reward,-1.78867766,1.93552054,2.621719273,2.621719273,-1.78867766,-1.78867766,398.6688149,413.5182896
P044,POST,Reward,-2.081049672,1.533880658,1.829739044,1.829739044,-2.081049672,-2.081049672,392.9632098,401.7871944
P045,POST,Reward,-3.542552274,3.927296948,4.602757038,4.602757038,-3.542552274,-3.542552274,392.6904539,396.1640474
P046,POST,Reward,-2.644957741,2.864859741,3.490799369,3.490799369,-2.644957741,-2.644957741,396.6867522,405.7443155
P047,POST,Reward,-2.177319147,2.039440911,2.709085471,2.709085471,-2.177319147,-2.177319147,397.6780701,412.3719173
P048,POST,Reward,-1.71044778,0.539314034,-0.635058755,-0.635058755,-1.71044778,-1.71044778,388.7571867,388.7705419
P049,POST,Reward,-1.231897812,0.118688967,-1.063259028,-1.063259028,-1.231897812,-1.231897812,388.6278025,388.762219
P050,POST,Reward,-3.70007609,3.055480966,2.856818594,2.856818594,-3.70007609,-3.70007609,396.6899966,409.7534891
P051,POST,Reward,-1.217320028,0.195926255,-0.884870925,-0.884870925,-1.217320028,-1.217320028,388.714029,388.8662127
P052,POST,Reward,-1.237223708,0.099140332,-0.937830861,-0.937830861,-1.237223708,-1.237223708,388.6603666,388.7415523
P053,POST,Reward,-3.156694763,3.479769061,4.133085871,4.133085871,-3.156694763,-3.156694763,392.3852977,400.3853543
P054,POST,Reward,-3.177554913,2.899861062,3.329337848,3.329337848,-3.177554913,-3.177554913,394.607777,406.580883
