Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z(1),dc(1)
P002,Blank,Blank,0.934456924,4.55213238,0.187577782,0.293096864,-0.311093155
P003,Blank,Blank,0.918371719,4.647261396,0.191874569,0.30663991,-0.440722613
P004,Blank,Blank,0.874048481,5.03377499,0.199008818,0.342668154,-1.092380485
P005,Blank,Blank,0.884879304,4.592640587,0.197028335,0.329104842,-0.604193919
P006,Blank,Blank,0.996789396,4.456805536,0.180224805,0.251896667,0.210894396
P007,Blank,Blank,0.914782024,4.689154747,0.191797416,0.30072023,-0.440351802
P008,Blank,Blank,0.936065596,4.724057476,0.189387826,0.288223513,-0.354671093
P009,Blank,Blank,0.946224032,4.645681609,0.189005433,0.29164501,-0.292473609
P010,Blank,Blank,0.960657699,4.486938323,0.185627681,0.270531517,0.046419067
P011,Blank,Blank,1.032199257,4.488232343,0.176362333,0.235238169,0.38682607
P012,Blank,Blank,0.9572642,4.819503338,0.185809966,0.27151276,-0.295816047
P013,Blank,Blank,0.956160715,5.381537789,0.185819411,0.280752947,-0.923567391
P014,Blank,Blank,0.875182243,5.06715562,0.198372256,0.335139784,-1.117080482
P015,Blank,Blank,0.965335355,4.599861712,0.183572372,0.27083105,-0.107124853
P016,Blank,Blank,0.892525941,4.980784599,0.195858963,0.321363508,-0.872950585
P017,Blank,Blank,0.96724775,4.693326802,0.184556879,0.267486917,-0.156980033
P018,Blank,Blank,0.886746888,4.768084449,0.195605508,0.329030739,-0.75682666
P020,Blank,Blank,0.950533189,4.616879076,0.187162264,0.281954149,-0.206734893
P021,Blank,Blank,0.925772293,4.657534561,0.190061821,0.291840968,-0.387644261
P022,Blank,Blank,0.981473362,4.447329751,0.182782867,0.258482951,0.154235756
P023,Blank,Blank,0.942675523,4.615105551,0.187932975,0.283774046,-0.211199236
P024,Blank,Blank,1.097638442,4.188596669,0.167022607,0.211961863,0.864992356
P025,Blank,Blank,0.938896002,4.310644675,0.189005441,0.286327939,0.074521291
P026,Blank,Blank,1.039023361,4.493718327,0.174982992,0.231678313,0.37974918
P027,Blank,Blank,0.995744506,4.407205358,0.181884437,0.257729847,0.255445958
P028,Blank,Blank,0.863006063,4.983201197,0.201959346,0.364505642,-1.206935148
P029,Blank,Blank,1.035368294,4.241286007,0.17624105,0.235965772,0.597316561
P030,Blank,Blank,0.916255125,4.646030839,0.1912228,0.300595819,-0.415818384
P031,Blank,Blank,0.999346263,4.479927118,0.180764604,0.253127908,0.215546926
P032,Blank,Blank,0.885424663,5.021480368,0.19635985,0.334163792,-1.069112419
P033,Blank,Blank,0.97746718,4.610075969,0.184425766,0.258990996,0.086088086
P034,Blank,Blank,0.966215727,4.80790588,0.183999315,0.261519718,-0.223843699
P035,Blank,Blank,0.892278778,4.805538068,0.196082042,0.326926342,-0.75526797
P036,Blank,Blank,0.92865281,4.565273425,0.189240489,0.288930908,-0.258586166
P037,Blank,Blank,1.025179595,4.328983948,0.177787498,0.244514197,0.48747878
P038,Blank,Blank,0.959289723,4.462917068,0.186001193,0.273402314,0.017115175
P039,Blank,Blank,0.899791159,4.601318595,0.194266209,0.313404208,-0.486491708
P040,Blank,Blank,1.011232172,4.64518872,0.179580367,0.247876501,0.129868106
P041,Blank,Blank,0.962681276,4.479797069,0.18500551,0.273719135,-0.025645195
P042,Blank,Blank,0.899278266,5.132482794,0.195173165,0.316218564,-0.972516359
P043,Blank,Blank,1.012435784,4.271628861,0.177586188,0.240844686,0.452796176
P044,Blank,Blank,0.929437936,4.552790683,0.19027337,0.294349568,-0.232813283
P045,Blank,Blank,0.890318081,4.860682199,0.195956956,0.32337665,-0.808739027
P046,Blank,Blank,0.8829207,5.119512701,0.197241251,0.327167697,-1.081495262
P047,Blank,Blank,0.941841353,4.549278756,0.188667329,0.286524207,-0.169215943
P048,Blank,Blank,1.103780635,4.27841,0.166203115,0.203657509,0.794229387
P049,Blank,Blank,0.946374149,4.667057295,0.187712749,0.284803598,-0.259292873
P050,Blank,Blank,0.932282709,4.678814777,0.189594647,0.290532366,-0.34059971
P051,Blank,Blank,0.926955125,4.625751931,0.18969356,0.291533048,-0.320909082
P052,Blank,Blank,0.941537351,4.494919741,0.187581226,0.289326085,-0.180431713
P053,Blank,Blank,0.911220149,4.732000453,0.193119368,0.309845202,-0.54103691
P054,Blank,Blank,0.933382285,4.889044307,0.190776055,0.296578263,-0.556261233
P001,Blank,Blank,0.986546661,4.382596427,0.182193488,0.257450452,0.278823091
P002,Blank,Blank,0.889485116,4.629970098,0.195676145,0.319778134,-0.543621238
P003,Blank,Blank,1.150255899,4.397150862,0.16078534,0.193630844,0.883807239
P004,Blank,Blank,1.048333068,4.177061687,0.174169719,0.226299619,0.770052113
P005,Blank,Blank,0.950434123,4.539382739,0.186164057,0.275536256,-0.103382634
P006,Blank,Blank,0.877494715,5.055367909,0.198162065,0.334966707,-1.090784958
P007,Blank,Blank,0.932794105,4.58333787,0.189887019,0.288546375,-0.253122336
P008,Blank,Blank,0.89341973,4.999746366,0.195009736,0.324562383,-0.966844211
P009,Blank,Blank,0.951719586,4.902461676,0.1873739,0.280433581,-0.448379858
P010,Blank,Blank,0.937520278,4.750384245,0.188687019,0.28426621,-0.354025116
P011,Blank,Blank,0.934484006,4.705677571,0.189185999,0.290083885,-0.35953058
P012,Blank,Blank,0.909657993,4.636237167,0.193526109,0.308943598,-0.436869272
P013,Blank,Blank,0.887334002,4.945696474,0.197277887,0.33488497,-0.993114482
P014,Blank,Blank,0.9774702,4.576960108,0.183535799,0.261085572,0.064452738
P015,Blank,Blank,1.00989893,4.365847918,0.178390756,0.245658886,0.327999953
P016,Blank,Blank,0.875262728,5.026710365,0.198716065,0.340014013,-1.073417256
P017,Blank,Blank,0.979230139,4.585333646,0.18285313,0.258586203,0.047643573
P018,Blank,Blank,0.912879735,5.037968098,0.192401788,0.305288734,-0.835932788
P020,Blank,Blank,0.904284402,4.646893956,0.193615998,0.307751762,-0.453379756
P021,Blank,Blank,0.915929433,4.694480946,0.192016491,0.303330541,-0.471961199
P022,Blank,Blank,0.874522477,5.006956912,0.198682663,0.338078615,-1.056292608
P023,Blank,Blank,1.006857627,4.409752309,0.178209817,0.243429346,0.289884625
P024,Blank,Blank,0.913193145,4.728875481,0.193077822,0.309234686,-0.514937282
P025,Blank,Blank,0.965739188,4.574655776,0.184655441,0.265052744,-0.030090444
P026,Blank,Blank,0.885294324,4.648351579,0.196943109,0.322394312,-0.533497709
P027,Blank,Blank,0.935468686,4.692375653,0.189366601,0.287105762,-0.27963438
P028,Blank,Blank,0.882539671,5.03717103,0.197732265,0.33248815,-1.028311882
P029,Blank,Blank,0.88755968,5.034136327,0.19684346,0.326047526,-0.967925197
P030,Blank,Blank,0.899425758,4.82872116,0.194569872,0.31138797,-0.645077648
P031,Blank,Blank,0.922153303,4.695225565,0.190755191,0.293857898,-0.388482903
P032,Blank,Blank,1.00590003,4.587035019,0.179231909,0.245077283,0.181709578
P033,Blank,Blank,0.893104895,4.431674687,0.194433245,0.317837851,-0.35990426
P034,Blank,Blank,0.931478312,4.650986202,0.189170698,0.284664614,-0.311528267
P035,Blank,Blank,0.894332324,4.922639138,0.195978403,0.320500663,-0.804238735
P036,Blank,Blank,0.876949456,5.053832276,0.198257675,0.335154054,-1.093846998
P037,Blank,Blank,0.907273309,5.156433918,0.19304311,0.314543742,-1.03386133
P038,Blank,Blank,0.951527545,4.581361785,0.186314057,0.281222556,-0.197958422
P039,Blank,Blank,0.909272032,4.666438858,0.19130534,0.307156351,-0.540566403
P040,Blank,Blank,0.932942979,4.298356813,0.187589892,0.276745185,0.055087661
P041,Blank,Blank,0.879501161,4.823816858,0.198635825,0.345412143,-0.928212732
P042,Blank,Blank,0.888053246,4.695442471,0.196639612,0.330585288,-0.720216805
P043,Blank,Blank,0.915284365,4.906609006,0.192027032,0.300197324,-0.641468538
P044,Blank,Blank,0.990972,4.505268947,0.181978908,0.257025402,0.135296453
