Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z_trans(1),z(1),dc(1),likelihood,penalty,bic
P001,PRE,Happy,2.059650433,-0.281549065,1.49E-06,-2.892627798,0.052519203,7.551521681,-624.6955691,30.45104289,655.146612
P002,PRE,Happy,0.740899673,3.402492212,0.21199778,-0.918868751,0.28518845,2.061876575,-541.8709374,30.45104289,572.3219803
P003,PRE,Happy,0.582518584,2.989816187,0.226300328,-0.381033935,0.405877549,1.739586063,-540.2576208,30.45104289,570.7086637
P004,PRE,Happy,2.443816099,-0.716067239,0.0233362,-3.111035718,0.042654331,10.58276057,-621.2492313,30.45104289,651.7002742
P005,PRE,Happy,0.753955957,3.353778843,0.195037534,-0.498876083,0.37780483,1.601807681,-548.7937787,30.45104289,579.2448216
P006,PRE,Happy,1.06120189,5.340735168,0.208964137,-1.723947324,0.151363422,2.697502649,-480.3541607,30.45104289,510.8052036
P007,PRE,Happy,2.249556707,6.527575814,0.11696257,-3.150294748,0.041079666,5.394198131,-485.2659169,30.45104289,515.7169598
P008,PRE,Happy,2.215805668,0.312480418,7.65E-05,-3.579237121,0.027139852,7.53043635,-563.7634858,30.45104289,594.2145286
P009,PRE,Happy,0.786708071,1.658408261,0.168224117,-1.185753328,0.23401931,2.626880783,-600.1517769,30.45104289,630.6028197
P010,PRE,Happy,0.715004593,2.707720379,0.21491948,-0.764000359,0.317778376,1.578944476,-559.9009121,30.45104289,590.351955
P011,PRE,Happy,2.514872099,-0.395822155,0.01615764,-3.355476241,0.033716295,9.201260781,-634.9159727,30.45104289,665.3670156
P012,PRE,Happy,0.632339742,3.876734543,0.216143892,-0.120404447,0.469935201,0.662724793,-507.8855274,30.45104289,538.3365703
P013,PRE,Happy,0.664509263,3.31386767,0.215378719,-0.725582312,0.326164906,2.293173198,-526.258511,30.45104289,556.7095539
P014,PRE,Happy,0.759109415,4.621389602,0.23283306,-1.063775623,0.25658859,2.286350158,-481.5369807,30.45104289,511.9880236
P015,PRE,Happy,0.680302402,3.87888988,0.209585324,-1.005622986,0.267837313,2.161766099,-503.4337866,30.45104289,533.8848294
P016,PRE,Happy,0.673240678,2.076388604,0.21104393,0.353327758,0.587424318,0.808798537,-629.8617115,30.45104289,660.3127544
P017,PRE,Happy,0.725608414,2.553114235,0.196343253,-0.880538317,0.293066239,1.694420331,-566.6853769,30.45104289,597.1364198
P018,PRE,Happy,0.773441042,1.939050637,0.167537999,-0.285137836,0.42919462,1.732466678,-615.0350289,30.45104289,645.4860718
P020,PRE,Happy,1.092561228,6.392769746,0.204975778,-1.580186676,0.170769046,3.576187176,-463.4048923,30.45104289,493.8559352
P021,PRE,Happy,0.742965877,2.26990653,0.1825324,-0.405122187,0.400082304,2.267024753,-601.7645134,30.45104289,632.2155563
P022,PRE,Happy,0.725248028,3.77774878,0.199641507,-0.70285063,0.33118051,1.838724295,-545.0292844,30.45104289,575.4803272
P023,PRE,Happy,0.591212974,3.004208562,0.195813057,-0.541990297,0.36772471,0.903992246,-553.1415833,30.45104289,583.5926262
P024,PRE,Happy,0.731160654,2.231290771,0.199845032,0.240385563,0.559808663,0.969704873,-611.7231877,30.45104289,642.1742306
P025,PRE,Happy,1.138967659,4.39884533,0.215679563,-2.384049495,0.084397117,3.57194529,-516.9202296,30.45104289,547.3712725
P026,PRE,Happy,0.705779395,3.41382885,0.221116595,-0.452924961,0.388665556,1.930688453,-579.1499489,30.45104289,609.6009918
P027,PRE,Happy,0.686702125,4.210319369,0.237684906,-0.64535694,0.344036602,1.992506209,-533.9460047,30.45104289,564.3970476
P028,PRE,Happy,0.913649976,1.489788141,0.129767763,-0.576888501,0.359648863,2.265355256,-627.2046367,30.45104289,657.6556796
P029,PRE,Happy,0.737237118,2.360827201,0.187092121,-0.73958756,0.32309434,2.368419219,-595.8570706,30.45104289,626.3081135
P030,PRE,Happy,0.630138887,2.206741065,0.212993899,-0.358366172,0.411355127,1.596163282,-591.627713,30.45104289,622.0787559
P031,PRE,Happy,1.467293154,10.01633817,0.175070491,-1.991112673,0.120139197,1.522673468,-463.9722562,30.45104289,494.4232991
P032,PRE,Happy,1.472202255,-1.246888374,0.134219327,-2.674945931,0.064468027,10.49423329,-646.1060273,30.45104289,676.5570702
P033,PRE,Happy,0.784630955,2.565344641,0.141799596,-0.316025903,0.42164457,1.379866672,-556.3597427,30.45104289,586.8107856
P034,PRE,Happy,0.562224275,3.926208417,0.247368652,-0.326890564,0.418997389,0.719994669,-522.8156295,30.45104289,553.2666724
P035,PRE,Happy,0.759847381,3.479844857,0.194606585,-0.434089072,0.393150323,2.042384011,-581.0390901,30.45104289,611.490133
P036,PRE,Happy,0.762247913,4.464825504,0.219885656,-0.332518029,0.417628074,1.2154076,-539.7434336,30.45104289,570.1944765
P037,PRE,Happy,0.780617532,2.367265544,0.1874879,-0.393449023,0.402887295,1.257541793,-576.2470252,30.45104289,606.6980681
P038,PRE,Happy,0.690338219,3.738113779,0.22463875,-0.489950898,0.379905135,1.485765183,-508.7024795,30.45104289,539.1535223
P039,PRE,Happy,0.726156159,1.580974008,0.165971736,-0.792497475,0.311632665,3.363781041,-690.1293095,30.45104289,720.5803524
P040,PRE,Happy,0.684506611,2.790881271,0.212516509,0.053340929,0.513332071,1.775956206,-602.1980401,30.45104289,632.649083
P041,PRE,Happy,0.773326433,3.467316292,0.204116934,-0.25870571,0.4356819,1.532766995,-530.3586797,30.45104289,560.8097226
P042,PRE,Happy,0.816729726,3.803638766,0.172995118,-0.643755252,0.344398154,1.641186241,-506.6318746,30.45104289,537.0829175
